text,Preprocessed_text,Clustered
"There's an app called Uber, Try that because pickme is completely trash, Their tuk service is garbage, Some drivers completely forgets to start the trip on the app and they try to charge the person, because of their fault...",app try completely trash service garbage start trip charge person fault ,2
good service... thanks,good service thank ,2
Best,best ,2
Excellent,excellent ,2
One of the promo service in Sri Lanka. I wish you all the best. !!!,service sri wish best ,2
Great,great ,2
Good app recommend,good app recommend ,2
great,great ,2
very comfatable,,
"New update has ruined the app , setting pick up and drop off is locations mannually is impossible to do. The main thing that this app should do is not working !!! Prefer the old application.",new update ruin app set pick drop impossible main thing work prefer old application ,0
Absolutely trash. It's unreliability will cost you when you depend on it. Food deliveries take forever and get cancelled often.,absolutely trash unreliability cost depend food forever ,0
very good concept,good concept ,2
Patta app eka,patta app ,2
Very good. Precise and easy to use.,good precise easy use ,2
When trying to create the account. Only option available is to use mobile number. When tried with the mobile number. It does not one time password to mobile number. Don't upload or the apps with bugs. It is really humiliating.,try create account option available use mobile number time password don humiliating ,1
User friendly,user friendly ,2
Nnnn oon,,
"Probably the most unreliable service I have used till date. At most peak times there are no vehicles and if you manage to book one, it will fail to turn up without a notice. Best to stick to the reputed competition.",probably unreliable service till date peak time manage book fail turn notice good stick repute competition ,0
Fun and safe,fun safe ,2
Add the drivers phone number in trip details and improve the gps,add phone number trip improve ,2
Good app pick me,good app pick ,2
Excellent,excellent ,2
Good app,good app ,2
Good,good ,2
One of the worst app i found. Charged me today for two trips and driver never comes.,bad app find today driver come ,0
same rate as normal vehicles,rate normal ,2
Super,super ,2
Good,good ,2
Good,good ,2
good,good ,2
Good,good ,2
"Yll guys are doing a Good Gob !!! ,😊",good gob smile face eye ,2
Best,best ,2
Excellent,excellent ,2
Super app,super app ,2
Good,good ,2
I wond this app,app ,2
Good app. Simple and easy to use,good app simple easy use ,2
Reall bad app. I couldnt change the payment method from cash to card and the rider didnt have enough change with him..came up Rs.250 short. Never using pickme again.,bad app change payment method cash card rider not come short ,0
Price changes while you are traveling. Once it changes from Rs. 70 to 250 while traveling a small distance. But providing variety of vehicles for your needs. So its okay app,price travel small distance provide variety need app ,0
Nice,nice ,2
Good,good ,2
But i cant update,not update ,0
"Why I cannot reinsult (redownload ) this fasility . I was trying several time , but impossible ...😪",reinsult try time impossible sleepy face ,1
Very helpful to everyone,helpful ,2
Good,good ,2
👍👍👍👍💕💕💕💕,thumbs thumb heart ,2
Verry usefull app,app ,2
Very useful,useful ,2
Good but can improve,good improve ,1
Very good,good ,2
Good,good ,2
Good,good ,2
Best ever,best ,2
they aren't responsible for drivers issues and delivery issues. worst customer service ever.,responsible delivery bad customer service ,0
My app is getting stuck. The page is blank and I can't see whether the driver is coming or not. This has happened multiple times and it's very inefficient. Extremely bad app.,app get stick page blank driver come multiple time inefficient extremely bad ,0
ASSALM,,
Y azathioprine Zc co red Xmas T_5π352742. *,red ,2
Good,good ,2
Make the fares a little more cheaper like uber bcz people are now using uber bcz that their costs are cheaper but pickme is quicker and friendly,little like people friendly ,2
Super service 👌👌👌,super service ok hand ,2
Very bad services,bad ,2
Good,good ,2
I Love this travels but some drivers are harsh with customers,love harsh ,2
"The drivers are worst. they wont come on time and not trained.they dont know how to treat the customer.They ask us to cancel the order , then says I'll come to drop you buy not via pick me. and asking more money than the app show. Uber is better than this. Even they are not giving change as well.",bad will not come time train know treat customer ask cancel order shall drop buy pick money app better give change ,0
Meh,,
wery good,good ,2
Good,good ,2
good app for taxis,good app taxis ,2
Compare to Uber far Better.. Recommending,compare far better ,2
Safe and cheaper,safe ,2
Best and tge beat,best beat ,2
When I ordered pick me food from McDonald's I added 2 happy meal burgers they didn't even bring 1,order pick food add happy meal bring ,2
Good,good ,2
Good,good ,2
Nice one,nice ,2
Gud,gud ,2
Good,good ,2
Excellent,excellent ,2
Good,good ,2
Payment method automatically changed to the cash after order placed.,payment method automatically cash order ,0
Nice...,nice ,2
Bad app,bad app ,2
Excellent,excellent ,2
Excellent service,excellent service ,2
this is awesome,awesome ,2
"Excellent service,thank you",excellent service thank ,2
Good,good ,2
Good,good ,2
Plz speed,please speed ,1
Super,super ,2
Excellent service,excellent service ,2
Good,good ,2
Good,good ,2
If you are waiting in a traffic price will be higher than normal taxies. Better to consider that issue for riders point of view. It is better to reduce the price level if want to compete with uber.,wait traffic price high normal better consider issue point view reduce level want compete ,2
Gather a cab for Moratuwa to panadura,gather cab ,2
Please call Not at the moment. I am busy at the moment.,not moment busy ,2
good 500 500,good ,2
"Hi, I cant add my credit card to payment methods, it always says failed eventhough i use different cards. Please look into it, thanks.",please add all cards feature,1
Services are goog.but app need to be imroved.(location is not working properly),app need location work properly ,0
good svs,good ,2
Good,good ,2
Dc34,dc ,2
Welldone,,
High charges,high ,2
Driver overcharged.logged a complain but never get any respond. Pick me ride and pick me foods both scamming people. Im highly satisfied with uber than pick me I will Never ever recommend pick me to anyone.,driver log complain respond pick ride people highly satisfied recommend ,2
New update cannot skip drop off location.,new update skip drop location ,0
Great,great ,2
Very good.,good ,2
Very efficient,efficient ,2
Suppar,,
After the new update.. the taxi charge is very high. Even I pay 100 rupees to normal taxi from my home to town.. the pick me charge is 150 rupees.. what's wrong with this app? Very unfair.. disgusting.. Uber is more easy than pickme,new update taxi charge high pay normal home town pick wrong app unfair disgusting easy ,2
Drivers on multiple occasions have kept me waiting for over 15 mins to only cancel afterwards without any explanation.,multiple keep wait cancel explanation ,2
Some drivers are cheating.... at the same time some drivers are gentlemens...,cheat time gentlemen ,2
f xt,,
"Functions well as a ride sharing app but PickMe food is attrocious. They dont seem to have enough riders to function properly, delivery estimates are enormously misleading and phase breakdown on order dashboard after an order is placed is extremely poor compared to the competition. If they want give uber a fight they really need to smarten up.",ride app food not function properly delivery enormously misleading phase breakdown order dashboard extremely poor competition want fight need smarten ,0
Best taxi hailing app iv used...,good taxi app ,2
very quick service,quick service ,2
"I use both pick me and uber very often.  When compared with Uber, pick me trip fares are much higher. And always I've noticed that the estimated trip fares exceeds in reality even without traffic or waiting time. So in the end of the day after the trip you have to spend heck a lot of money than you really have to.",use pick trip higher reality traffic wait time end day spend heck lot money ,1
This was not good. They give 100Rs promo but when i add the promo cord no vehicle comes.,good add cord vehicle come ,2
Good,good ,2
Very good😱,good face scream fear ,2
"You may broadcast a notification to all pick me driver apps to update it to the latest version. I have come across twice in which drivers cannot end the journey. They keeps on tapping end journey, yet it wont end and its very annoying to the customers.",broadcast notification pick driver update late version come twice end journey tap will not annoying ,0
Good,good ,2
පට්ට ඈ,,
M.h.m.feroos,,
Good,good ,2
Good,good ,2
Good,good ,2
Easy to connect,easy connect ,2
Good,good ,2
Good,good ,2
This is a fun app,fun app ,2
👍,thumbs ,2
Good App & reasonable price in each trips. Only I can't search the restaurant name in pickme food.,good app reasonable price search restaurant food ,0
Good,good ,2
Good,good ,2
Pick,pick ,2
566x,,
Done,,
Wow,wow ,2
Going to Town hall,go town hall ,2
No23 st xavier road akkara panaha,no st road ,2
Best app for travel,good app travel ,2
Good,good ,2
Good,good ,2
Love it,love ,2
App is not working correctly. Though i have applied the promo code it didn't apply. Charge for rides are higher than the previous.,app work correctly apply code charge high previous ,0
.l have to H.omu👹 v👹😲:-[:-|*\0/.m.,ogre astonish face ,2
Good service,good service ,2
Best,best ,2
good,good ,2
I am using note 10 and in also with stable connection the app is laggy.,note stable connection app ,0
I am having a issue There seems to be a glitch or a bug Every time I open the app and try to book a vehicle the app restart and goes back to the home page It's really annoying and wastes a lot of time If there is a way to fix it let me know,issue bug time open app try book vehicle restart go home page annoying lot way fix let know ,0
Good,good ,2
Rate over,rate ,2
Why It's taking toooo loooong for receive log in code..,take receive log code ,0
Very useful app...but van are get rarely..so please get more vans for users...thankyou ..,useful app van rarely ,1
App sucks. Have to update all the time when a new version is available. Not user friendly at all and costly when compared with Uber,app update time new version available not user friendly costly ,0
Good,good ,2
Cannot download the app,app ,2
Rrrt,,
Nice ☺,nice smile face ,2
Worst app ever i seen,worst app see ,2
Good,good ,2
The newer updates has made it a much more reliable service. Kudos to the team!,reliable service kudo team ,2
Booya,,
good,good ,2
🔥❤️,fire red heart ,2
Worst taxi service Cheaters,bad taxi service ,2
Bad👎,bad thumb ,2
👍,thumbs ,2
Bad customer services from pick me staff,bad customer pick staff ,2
"Literally the worst hailing app out there now this service used be my favourite, but now they've up the pricing for all hailing and the price estimates aren't accurate at all. The prices once the ride is over will always be higher than the estimate, additionally the UI isn't intuitive by any means just looks clustered and not precious",literally bad app service price accurate ride high estimate additionally intuitive clustered precious ,0
"Before confirming acc. Map =180 < after trip according to map=210, what should i do?",confirm map trip accord ,2
It's a amazing app,amazing app ,2
Very good and flexible cost.,good flexible cost ,2
good,good ,2
Gooooooooood,,
I'm very unhappy with the service. No vehicles when we need. Some drivers extra charging. Some drivers start the meter before picked us. Poor service,unhappy service no need extra charge start meter pick poor ,2
It's very useful for me I like it very much,useful like ,2
Services are very bad,bad ,2
Must improve showing the driver's location. Caused conflict and confusion between my last ride due to issue.,improve show driver location conflict confusion ride issue ,1
This app is not reliable.,app reliable ,2
New version of this app creates too much annoying advertiesments. Abnormal data usage for advertiesments. Have no option to turn off unnecessory notifications. As a percentage this app got 50-50 pros and cons. Definitly will move to another app if i have an option.,new version app annoying abnormal datum usage option turn percentage get ,0
Nice,nice ,2
hmmmmmm good,good ,2
Nice,nice ,2
Good,good ,2
good,good ,2
having too big updates,big ,2
"The charges are not fixed, it'll increase depending on the traffic & other circumstances.",fix shall increase depend traffic ,0
The app does not work. It shuts down every time I try to open foods.,app work time try open ,0
We dont get vehicles often,not ,0
Good,good ,2
VERY POOR SERVICE.,poor service ,0
Good,good ,2
Could not update now I'm unable to use it,update unable use ,0
Not bad,not bad ,2
Asitha ranawaka,,
Good service 👍👍👌,good service thumb thumbs ok hand ,2
Very good,good ,2
Ass,ass ,2
Good,good ,2
Good service,good service ,2
Nice,nice ,2
Its good not bad,good bad ,2
I love it,love ,2
good service,good service ,2
Excellent,excellent ,2
This is good,good ,2
Summa paravalapaa😁,beam face smile eye ,2
The drivers are good,good ,2
DILIP,,
Very good customer service,good customer service ,2
The best,good ,2
good,good ,2
So good on service,good service ,2
Xx,,
Good service keep it up.,good service ,2
"Hey Pickme, As a result, I love the idea of pickme. Its more convenient and better than getting a tuk/vehicle from outside. The more days pass by the more better it gets. But however, it glitches a lot where it gets on my nerves. Am i the only one who cannot find a tuk after 6pm(it always claims that there are no drivers)! Moreover, doesnt the tuk drivers know about the PROMOtions? They be like why one earth has the price decreased and then ask a higher amount which will lead to an argument! TY",hey result love idea convenient better get vehicle outside day pass lot find pm not know like earth price ask high lead argument ,2
Soooper,,
Good,good ,2
Good,good ,2
Good,good ,2
Very 👎 service 1 km 60 rupees every hire pickme have Rs.10 +12% pickme make money badly,thumb service hire money badly ,2
Good,good ,2
Quick delivery,quick delivery ,2
good,good ,2
Very important for me. thanks pickme,important thank ,2
Well,,
Gamsooriya gahagethara Swarnalatha.,,
Shape,shape ,2
Great app😀,great app grin face ,2
Very good and convenient,good convenient ,2
Good,good ,2
good relable fair rates,good fair ,2
Nice,nice ,2
"This app is easy to use. Even a child can use it. My first choice in taxi service. Please have an option to save our home address so the drivers can find us easily. Also, there is no facility to mention 2 way / return trips. Most of our trips are 2 way trips, as such, we never enter the destination.",app easy use child choice taxi service option save home address find easily facility mention way return enter destination ,1
Too expensive compared to YOGO. Unnecessary prices,expensive unnecessary ,2
V dissapointing pick me rides is good enough for me,pick good ,2
Good Service,good service ,2
Galle bus,bus ,2
Made my life easier 😍😍,life easy smile face heart ,2
Very good quality,good quality ,2
Good,good ,2
Good,good ,2
Its very useful,useful ,2
Good,good ,2
Best service,good service ,2
Good,good ,2
Can't update,update ,0
Easy to use,easy use ,2
Good,good ,2
Good,good ,2
👌,ok hand ,2
Nice,nice ,2
Nice,nice ,2
Good Transport Applications Software,good transport ,2
Very nice a,nice ,2
"60% of the time, it gives a wrong location",time wrong location ,0
gd,,
The dribers are not nice there are rude and they never come where i want them to come,nice rude come want ,2
Good service keep it up,good service ,2
Gd,,
d ededdddddd?d d d,,
Good,good ,2
Good one,good ,2
Good,good ,2
Good,good ,2
yesp,,
Good efficient,good efficient ,2
This update takes forever,update forever ,2
Good,good ,2
Great,great ,2
I like it,like ,2
Very useful. No complaints so far,useful no far ,2
Very convenion,,
Great Service,great service ,2
Good,good ,2
Recent changes made to the app creates lot of problems... most of them are pretty much annoying... and as there are no other option I'm using this app but definitely move to another if a good one is out there,recent app lot pretty annoying option definitely good ,0
Good work 👍,good work thumb ,2
Gets stuck frequently. The app forces updates - even when you are desperately trying to get a taxi.,stick frequently app desperately try taxi ,0
Its wonderful,wonderful ,2
Poor customer services on rainy daysv,poor customer rainy ,2
Worst app. Never download PickMe,worst app ,2
Its a perfect app 🤩🤩,perfect app star struck strike ,2
Awesome with pick me promo code,awesome pick code ,2
Not accurate,not accurate ,0
👍,thumbs ,2
Good service,good service ,2
best taxi app,good taxi app ,2
good,good ,2
Good,good ,2
Good service. Drivers professionalism is not up to the expectations.,good service professionalism ,2
There are no vehicles when i need... No point of getting discounts from you 😤 and also there are no vehicles near my home always,need no point get face steam nose near home ,0
very good,good ,2
Good,good ,2
Updates suck,suck ,0
Good,good ,2
User friendly,user friendly ,2
wonderful experience,wonderful experience ,2
Ok,,
Amazing,amazing ,2
Good,good ,2
🔔,bell ,2
Pick me app is great !,pick app great ,2
I like picMe,like ,2
Good,good ,2
If you do not choose to update it is completely useless.,choose update completely useless ,2
Best,best ,2
Good,good ,2
Good service but your food service not good,good service food ,2
Good,good ,2
Super,super ,2
So expensive,expensive ,2
Excellent & quick service,excellent quick service ,2
best,best ,2
Ok,,
It is not opening without enabling GPS. Also unable to close by pressing back button.,open unable close press button ,1
good app,good app ,2
V good,good ,2
most of the time their system not works properly... the app is disgusting,time system work properly app disgusting ,0
Good,good ,2
boring always change ur apps version,bore change ur version ,2
Good,good ,2
Things are improving,improve ,1
The best app ever!!! As a sri lankan I am proud to have this app. Kudos to the founders. I want you to buy out Uber .,good app sri kudo want buy ,2
Good,good ,2
AB,,
Ok,,
Cant order food. Earlier i used to do. After upgrading app is not working,not order food app work ,0
Excellent,excellent ,2
Rubbish service...customer care doesn't know how to speak and pickme food doesn't deliver the food on time...there trying to cancel the order... hereafter no order from pick me or pickme food...,rubbish service customer care know speak food deliver time try cancel order pick ,0
Unfortuntely stopped,stop ,0
"When a discount code is put, even the available drivers are not shown... When checked without the code, there are plenty....",discount code available show check plenty ,0
Good,good ,2
superb,superb ,2
Muslim 🖕,middle finger ,2
"Hire Incentives කොළඹ දිස්ත්‍රික්කයට පමණක් සීමා නොකර, අනෙක් ප්‍රදේශ වලටත් ලබා දෙන්න.",hire ,2
Very useful,useful ,2
Ft,,
"PickMe foods is utterly useless, it doesn't show the restaurants at all",utterly useless ,0
Jnvo,,
Very fast,fast ,2
This app promotes wahabism.. Report this app,app report ,0
Good,good ,2
M8 Mike llook looking look later I looking looking on,mike look later ,2
Not working,not work ,2
Great Servise from inception,great inception ,2
"Ui SD i Jon h has t shy bh GM iwfo,",shy ,2
Pick me😀😀😀,pick grin face grinning ,2
👍 super,thumbs super ,2
Good,good ,2
ත්‍රස්තවාදීන්,,
JR,,
The app crashed when I really needed a vehicle.,app vehicle ,0
"Once booked a ride and exit the app, there's no way to view the ride information again.",book ride exit app way view information ,1
New update is a mess. Can't even make a proper complaint with new chat bot. Also chat bot complaints are not recorded or attended.,new update mess proper complaint chat bot ,0
Superb,superb ,2
I Cant find the bike driver when im using pickme food.its only showing in ios.no in my android phone,not find bike driver food show android phone ,0
They change there policy and violate cutomers rights by feeding wrong information without notice.... Charged me today with excess fare starting price which is unethical without any notification nor message... If there are any pick me help service please reply to this...,change policy violate feed wrong information notice today excess fare start price unethical notification message pick help service reply ,2
"Pathetic service from call centre. Think twice before paying through QR code, because driver app doesnt get updated.",pathetic service think twice pay code driver app not ,0
Super app,super app ,2
"Hidden chargers apply. I have used. But due to driver issue driver cancelled the trip but now, when i compare with other traveling app pickme cosly. Uber is better.",hidden apply driver issue trip compare travel app well ,2
Best Taxi Service Company Ever ❤🔥 Uber Is A Word ✌ PickMe Is A Emotion 💕,best taxi service company red heart fire word victory hand emotion ,2
Good,good ,2
Good,good ,2
Greatly developed app. Easy to navigate with users needs.,greatly app easy navigate need ,2
Tried to set up account with my UK mobile. Wasnt accepting it 🤬,try set account mobile not face symbol mouth ,0
Its very usefull,,
Good,good ,2
Bad drivers. ..With bad attitudes.,bad ,2
Excellent,excellent ,2
"Hate to update the app always, and really dissopointed with call center",hate update app center ,0
best app,best app ,2
When i checked all food store are closed it is possible ?at least need give online service max 12 hours .....in after noon,check food store close possible need service noon ,1
"app is not opening,please see it",app opening ,0
Good app,good app ,2
No vehicles when needed.,no ,0
Buggy app. Time wasting. Don't download.,buggy app time waste don ,0
Good service,good service ,2
It's good,good ,2
Ambalangoda,,
Good app to travel,good app travel ,2
ok,,
Good,good ,2
I download pick me and when I go for foods it's coming not stopped,pick come stop ,0
Good,good ,2
Extremely poor coding and interface. No notification of responses to tickets.,extremely poor interface no notification ,0
Good,good ,2
Waiting time change 3.50.I not use this app.avant taxi app and driver very good.I think all pick me driver bad maind use this app.,wait time change use app taxi driver good think pick bad ,2
Mohamab nizam,nizam ,2
Driver asking too many questions,driver ,2
Good,good ,2
This app is very good,app good ,2
Good,good ,2
A good app,good app ,2
very good service app. Problem is applying the promo code to get it.,good service app problem code ,0
Perfect,perfect ,2
"Same person,same email, different devices cant register for the same email. I have 2 devices , 1 email adress. How to register?",person different not register ,0
Easy to find all vehicles,easy find ,2
Half the time no vehicles. I am really starting to feel fed up because of this. I hope you can find a solution fast. Or put more vehicle on to work.,half time start feel fed hope find solution fast vehicle work ,0
Niyanai appa eka,,
Perfect,perfect ,2
Very excited,excited ,2
Good,good ,2
Good service,good service ,2
Good app only some drivers cheat,good app cheat ,2
unable to enter location keeps crashing all the time,unable enter location time ,0
Good job..👍👍🔥🔥,good job thumb fire ,2
Best,best ,2
Good drivers,good ,2
⭐⭐⭐⭐⭐,white medium star ,2
Very bad.allways crashes,bad ,2
Waw,waw ,2
"We wanted a 10 seater van and they agreed, we wanted an English speaking driver and they agreed, but we got a 9 seater van with a driver with extremely poor English, we tried to adjust the mishap by the company by asking to reduce the price for our trip and the declined, thankfully the driver was nice but the company that sent him wasn't..",seater van agree speak driver get extremely poor try adjust mishap company reduce price trip decline thankfully nice send ,2
Very bad. pick me is lier . Yestetday i booked for Bentota beach and done for ten seater van and english speaking driver but it was lie they provided 9 seater and unknown of english driver. Managment told that u adjust with 9 seater but refused to adjust with their charges its very bad experience kasim,bad pick lier book beach seater van speak driver lie provide unknown tell adjust experience ,2
super taxi,super taxi ,2
Excellent,excellent ,2
Best,best ,2
One of the most reliable apps coming from SL. The service is improving every time. Best thing is it's available in Kandy as well and the fairs are reasonable,reliable come service improve time good thing available reasonable ,2
good,good ,2
"With the emergence of new taxi apps, the number of vehicles have gone down. So, its almost impossible to get a vehicle when needed",emergence new taxi number go impossible vehicle ,0
App is always hangsup. When I'm going to. Book a trip after selecting the location app is restarting. Again i tried to do the process. Result is same. Plz fix it.,app go book trip location try process result fix ,0
Please add the chat option just like in Grab.,add chat option like grab ,1
unknown,unknown ,2
Good,good ,2
"Food app search does not work. You can't search for food types. If your search for ""Biryani"" it only shows Big Bite Biryani! You only can search for a restaurant if you type the name exactly. And you can't check your past food orders. Horrible",food app search work big bite restaurant type exactly check past horrible ,0
Bag was left in the taxi even though i called the driver he said he could return it tommarow today he is declining my calls and not answering the phone and i called the hotline and they gave me another number of a person who was just said the wrong number so if yall can respond and help because i need that bag it has my work outfit and with out it i cant work today,bag leave taxi driver say return today phone give number person wrong respond help need work outfit not ,2
The professionalism of the drivers and competence of the app is absolutely trash,professionalism competence app absolutely trash ,2
Very good,good ,2
Good,good ,2
Very quick 💓💓💓💓💓❤️❤️❤️❤️❤️❤️,quick beat heart red ,2
More than 20 to 30 times tried updating but cant use it without updating.,time try not use ,0
Lots of bugs. Pls solve them.,lot solve ,0
"Good service. At the end of the trip, if user not connected to the internet there's no way to add rating to the driver later after user connected to the internet. Only shows trip details. Please add it. Rating the driver is important. Edit--: Can't exit from the app like before. Had to push to run in background and then close apps.",good service end trip user connect way add rating driver later important edit exit app like push run background close ,2
Excellent,excellent ,2
A very bad experience with PickMe fold. Ordered Pizza and was told will take 25mins. Didn't arrive for an hour and I canceled the order. The rider still arrived much later and insisted on sending the food to us. Terrible.,bad experience fold order pizza tell min arrive hour rider later send food terrible ,0
SIRIYAWTHH,,
Good,good ,2
Good local taxi service,good local taxi service ,2
උබ සිංහලයෙක් නම් මේ ඇප් අරගෙන ඒ හැත්තට සල්ලි දෙන්ඩ එපා පයින් පලයං,,
"Exellent. In my opinion, we should promote sri lankan brands. Pickme has potential for now.",opinion promote sri potential ,2
Excellent and reliable,excellent reliable ,2
"The network of booking vehicles is easy thanks to the app, but the quality of the drivers r getting bad and bad, also my house location is not presenting in the map, pls look in to it",network book easy thank app quality get bad house location map look ,0
Time saving app for the multiple needs,time save app multiple need ,2
Super,super ,2
Good job,good job ,2
Great Sri Lankan app. And reasonable rates.,great sri app reasonable ,2
Good,good ,2
best in.lanka,best ,2
All the best pick me group.your servis is a good.,good pick group ,2
Good service,good service ,2
Sometime application is stuck,application stick ,0
Horrible UI and the app keeps getting crashed. They need to invest more on the UI.,horrible app get need invest ,0
Dont download this app because there are not letting to order some food,not app order food ,2
Worst service ever. Both in pickme rides and pickme food. Very bad customer service and very poor in getting back to the customer. Really disappointed.,bad service food customer poor get disappoint ,2
#NAME?,,
Easy to operate better than other cab booking services,easy operate well cab booking ,2
Thank,thank ,2
Our own nations taxi.,taxi ,2
"The app is faulty, especially when you pay through cards it almost all the time goes for a payment failure. That could've been bearable if the customer service was good. But it's the shittiest customer service I've ever received.",app faulty especially pay time go payment failure bearable customer service good receive ,0
good,good ,2
Superb,superb ,2
Quick response,quick response ,2
Oo,,
Bad,bad ,2
Super fast goo,super fast goo ,2
"If there was a rating less than 1 star, I'd definitely choose that. Pick me food has the worst service.",rate star definitely choose pick food bad service ,2
Superb😎,superb smile face sunglass ,2
Good,good ,2
Best for Sri lanka,best sri ,2
I found them everywhere n anytime.,find ,2
"Hi Team, the latest application (6.315L) does not exit when you press the back button. I always need to go recent app and go back. That is painful. And there are lot of white space in your new landing screen whick looks aweful. Please check and fix them.",hi team late application exit press button need recent app painful lot white space new landing screen whick check fix ,1
Hnedn,,
The Latest Update doesn't have an Option to close the application which usually are available in Other apps and even Pickme's past versions. This wastes the time amd guves frustration when we are in urgent need to close the app.,late update option close application usually available past time frustration urgent need app ,1
Great app,great app ,2
Awesome🤗🤗😘,awesome hugging face hug blow kiss ,2
"Finally pickme proved that it is the No. 1 Local Taxi hailing app in Sri Lanka. I thought when Yogo released along with months of advertising, sky high hoardings and LINK Meter Taxi fame, it will be a real competitor for pickme but pickme won. And again after SLT released Muve I thought the same. But when I see the 3.x rating SLT Muve has in PlayStore it is proved within a couple of months they lost their fame ""danna kiyana kena"". The real winner is pickme. I surrender. Hats off...",finally prove no local taxi app sri think advertising sky high link meter fame real competitor rating couple lose winner surrender ,2
👍,thumbs ,2
Service is not at all satisfying,service satisfying ,2
Best App in srilanka,best app ,2
The location is not shown properly,location show properly ,0
Waste app when urgently I'm going to use its always asking updates every month,waste app urgently go use month ,0
Good and fare service,good fare service ,2
Nice,nice ,2
Good,good ,2
Good service,good service ,2
ල්,,
This app is very good,app good ,2
Good,good ,2
Good,good ,2
The app is having many bugs. They send us offer rides with their pickmepromo codes. But these codes are valid only on certain rides. So they should not allow for it to be applied on the rides its not available for. Furthermore i booked a cab for the airport . The driver came i left with the drvier. And for some reason it booked a second cab and half way through my journey this cab calls me aaking why i booked. I said take it up woth pickme as i am alrrady in the cab.,app send offer valid certain allow apply available furthermore book cab airport driver come leave reason second half way journey say ,0
Cannot exit the app on Android 10 with gesture navigation,exit app android gesture navigation ,0
too high fairs...,high ,2
😊😊😊,smile face eye ,2
Very convent ❤,convent red heart ,2
Who is this now???,,
No good,no good ,2
superb,superb ,2
Cool,cool ,2
I can't connect to pick me with my data. The data works well to other apps except for this. Please solve this issue as i uninstalled the app and tried again but it isnt working.,connect pick datum data work solve issue uninstalle app try ,0
Nice app love it,nice app love ,2
Good,good ,2
good,good ,2
Exce lent,lent ,2
Awsome app works well in colombo dont know about other areas👀❤💥,app work not know red heart collision ,2
Youtuber,,
drivers doesn't accept card payments at all. hence please remove the pay by card option.. because no point of adding that option to the app if the drivers are not accepting the card payments 😑,accept card remove pay option point app expressionless face ,1
Good,good ,2
Wow,wow ,2
worst Services are provided by some pickmefood drivers some drivers. so many delays and sometimes they didn't deliver the correct food. Better to delete this.,bad provide deliver correct food better delete ,0
Nice,nice ,2
best driver in their its good.very fast attmpet,best driver good fast ,2
Most of the time its satisfied,time satisfy ,2
Usdammta Thanks,thank ,2
🔥🔥🔥🏍🏍🚓,fire motorcycle police car ,2
👍 for traveling,thumb travel ,2
👎👎👎👎👎👎 don't use pick me,thumbs thumb use pick ,2
Good,good ,2
Super job Gais,super job ,2
Nice,nice ,2
Good,good ,2
Utterly disappointed!,utterly disappointed ,2
Frequently mini cars arenot available at Gurudeniya area,frequently available area ,2
My food app doesn't work,food app work ,2
Good,good ,2
Good service,good service ,2
R we xxerx tree ee rs ectdd,tree ,2
good!! but tuk's are busy,good busy ,2
Super,super ,2
Vry fst,,
Didn't work,work ,0
3weel hire,weel hire ,2
Was an amazing travelling app long time ago. Now its not that good. The drivers or riders are introducing their personal marketing apprcoaches to customers. Specially pyramid schemes. The quality of this app/service has drastically dropped. Good luck.,amazing app long time ago good personal marketing specially pyramid quality service drastically luck ,2
"Useful, but the app is buggy",useful app buggy ,0
fast driving,fast drive ,2
Good,good ,2
it ok not mach vihicl avelbal.lower the cost.good to used,low cost good ,2
good luck,good luck ,2
awesome,awesome ,2
Good,good ,2
Easy and reliable,easy reliable ,2
They are telling me to update but it is the latest version 😡,tell update late version pouting face ,0
good,good ,2
Good,good ,2
good,good ,2
Ok,,
good,good ,2
Excellent,excellent ,2
good.,good ,2
👍,thumbs ,2
The first and best transportation app in Sri Lanka.,good transportation app sri ,2
good,good ,2
can't use the app says to update but there is no update,use app update ,0
So sweet,sweet ,2
gooodd,,
Good Service,good service ,2
👍,thumbs ,2
good app,good app ,2
good,good ,2
good,good ,2
good go,good ,2
So funny,funny ,2
Good taXi app,good taxi app ,2
god,god ,2
Excellent service with 100℅ reasonable rates and decent drivers.,excellent service reasonable decent ,2
good,good ,2
Superb,superb ,2
good app to travel,good app travel ,2
Better but can be more better than UBER.,better well ,1
good,good ,2
"It's good, If you provide bike service like Tuk Tuk Network definitely I 
will give 5 stars",good provide bike service like network definitely ,1
pikme daunlog,,
Used to work but now forces registration and does not accept UK phone numbers,work registration accept phone ,0
I want to add this app to my phone please,want add app phone ,1
I ordered a pick me tuk tuk for a friend. That pays by my debit card. But they also paid by cash. I want a refund... I made a complaint from pick me app. But there's no refund... Help me... I was emailed and complained by app about this two days ago but still no reply,order pick friend debit card cash want refund complaint app help day ago reply ,1
connection problems,connection ,0
good traveling app,good travel app ,2
Very easy app for every Sri lankan,easy app sri ,2
for emergency we can use,emergency use ,2
baddest service ever i seen. when road have traffic every driver need to cancel. this is not a good service.,service see road traffic driver need cancel good ,2
👍,thumbs ,2
maha wesa app ekak,maha app ,2
very useful app,useful app ,2
Great solution made in Sri Lanka to improve mobility and transport. I use this regularly,great solution sri improve mobility transport use regularly ,2
Very good,good ,2
chamindasamith44 gmail,chamindasamith ,2
good,good ,2
great,great ,2
good,good ,2
newer app is extreamly slow to produse the amount when the driver end the trip,app slow driver end trip ,0
good,good ,2
