,text,Preprocessed_text,cluster
3530,it says one amount when ordering and when i was dropped off the amount was higher than the mentioned Price... there was no waiting not even traffic...from a 350 hire it went to almost 500 please correct your pricing... there are cheaper alternatives out there but I've been using your app for awhile now so please try and keep your customers...,high price wait traffic hire go correct app awhile try ,Bug_fix
3531,wonderful,wonderful ,Bug_fix
3532,මම භාවිත කරන app එකකි.,app ,Common
3533,good,good ,Common
3534,Super,super ,Bug_fix
3535,Fantastic,fantastic ,Bug_fix
3536,Ld,nan,Common
3537,Excellent service,excellent service ,Common
3538,Good service...!!!,good service ,Common
3539,fast move,fast ,Common
3540,Good,good ,Common
3541,This app is better than other apps but I found some drivers who charge more than the usual price,app better find charge usual price ,Bug_fix
3542,Good service but don't rely on pickme in critical moments.,good service rely critical ,Common
3543,Shape,shape ,Bug_fix
3544,Supper sewing,supper sew ,Bug_fix
3545,Good bro,good ,Common
3546,gd service,service ,Common
3547,Super,super ,Bug_fix
3548,Awsomee,nan,Common
3549,Good,good ,Common
3550,"100% for the PickMe app Developer or the Team! Really know about the deference between user interface and user experience! Most developers don't know about that. PickMe Food is my favorite! Very useful! Hope you will add more places in the future! Good luck guys! Hats off to the app developers! I got the full experiences. Fast delivery! Excellent! Love it. (Note: if you are paying cash then no problem at all, but if you are paying from card check your order again otherwise canceling the order will be a problem and that's nomal)",app developer team know deference user interface experience food favorite useful hope add future good luck get fast delivery excellent love note pay cash problem card check order ,Common
3551,Awesome love it,awesome love ,Common
3552,Just updated.. Now i cannot change vehicle type.. Only tuk tuk can be selected.,change vehicle type select ,Bug_fix
3553,Useful app,useful app ,Common
3554,After latest update i cannot book my next trip!,late update book trip ,Bug_fix
3555,Good work..get more tuktuks in ur company,good work ur company ,Common
3556,Very reasonable.,reasonable ,Bug_fix
3557,No drivers during the morning time.,no morning time ,Bug_fix
3558,Its nice and safe,nice safe ,Common
3559,Great app,great app ,Common
3560,Good,good ,Common
3561,good app,good app ,Common
3562,giughjj,nan,Common
3563,I think use full application.,think use application ,Common
3564,super,super ,Bug_fix
3565,"Woow, very usefull app",app ,Common
3566,This app is good but sometimes not working properly,app good work properly ,Common
3567,Pickmeapa,nan,Common
3568,The majority of drivers have no idea about the roads nor don't know how to use Google maps. Also not a single driver picks when it's around evening time and they always call you and ask where to go and cancel the booking..,majority idea know use single driver evening time ask cancel booking ,Common
3569,:( This app would be great except... There is a persistent problem with overcharging by tuk tuk drivers delaying completion of rides. I feel like this has happened often enough to be deliberate overcharging. I reported this to pickme customer service but instead of a refund i was questioned at length about my rides and then told i need to instruct drivers to end fares when i leave their vehicle. If that's really the case there should be instructions to that effect in the app UI. I'm afraid I'll be using Uber in the future whenever possible.,app great persistent problem delay completion feel like deliberate customer service instead refund length tell need instruct end leave vehicle case effect afraid shall future possible ,Common
3570,its all good. but the promo code need to bs activated every time. if it could be active for the period it would be great. else we miss the offers,good code need time active period great miss ,Common
3571,Why can't I login😤for more than 10 times I reinstalled the app but couldn't login,login face steam nose time app ,Common
3572,This cannot be downloaded,nan,Common
3573,No vehicles mostly...or the drives are busy....pick up location is not clear...hated this app,no busy pick location clear app ,Bug_fix
3574,Not bad,not bad ,Common
3575,Once I got into a Pickme three wheeler from Hulfstdorp. First kilometer charge was Rs.60.00 and there after Rs.45. 00 for every other kilometer. CHEATING!,get wheeler kilometer charge cheating ,Common
3576,Easy and cheap,easy cheap ,Common
3577,I tried many times to biok a vehicle from dr.nevill fernando hospital and vehicles always rejects the hire. Have enough vehicles online but no-one takes it. Toi bad.😈😈😈😈,try time vehicle hospital hire toi bad smile face horn ,Feature Request
3578,very good,good ,Common
3579,Good,good ,Common
3580,This is useless,useless ,Bug_fix
3581,Very good service,good service ,Common
3582,Good,good ,Common
3583,Pick me is very bad service for drivers. it is selfish taxi company. because drivers hard working but not value them. pick me is black mark of the sri lankan taxi field.,pick bad service selfish taxi company hard work value black mark sri field ,Common
3584,It's hopeless app,hopeless app ,Common
3585,Good,good ,Common
3586,වෑව්,nan,Common
3587,Very good,good ,Common
3588,Doesn't pick my location. even when permission is given and location is on,pick location permission give ,Bug_fix
3589,Very useful,useful ,Bug_fix
3590,Ela,nan,Common
3591,Worst app ever,worst app ,Common
3592,very good,good ,Common
3593,This is a bullahit app. All drivers are always unavailable. Hate it👎👎👎👎,app unavailable hate thumb ,Feature Request
3594,"I got emergency, pick me is better than uber.. showing reasonable price.. it will be. fine if pick me have more cars.. good luck..",get emergency pick better show reasonable price fine good luck ,Common
3595,Super ගානත් අඩුයි,super ,Bug_fix
3596,"*overall it's an awful service* your so called ""pickme"" service has caused a lot of inconveniences to me. The recent irritating incident was that none of the available drivers accepted my trip since it's a rainy day or some other reason but however it just caused me a lot of problems that day,because I was trying my very best to get a vehicle to attend an important function but none of the available drivers accepted my request so I'm utterly disappointed about your overall service and performance. Please do note that before you offer us a rain of promotions make sure that you offer the proper service,also teach your employees a sense of discipline regards to this matter. Also this wasn't the first time. Once when I requested for a pick me ,this certain driver accepted but didn't come for the pick up and I had to stay for 15 minutes or more for him until I contacted him and got to know that he's not coming.During that time he didn't even inform me or cancel my request. If these above simillar incidents happened to a customer who's facing an emergency would your company take the responsibility of the consequential impact of those incidents? It might sound as a minor problem to you but this can bring a lot of problems which you won't even imagine of happening. So do your business right,treat your customers well, provide them with good satisfaction,for that train and motivate your staff well. *Currently I'm disappointed about your service*",overall awful service lot recent irritate incident available accept trip rainy day reason try good vehicle attend important function request utterly disappoint performance note offer rain sure proper teach sense discipline matter time pick certain driver come stay get know inform cancel customer face emergency company responsibility consequential impact sound minor problem bring imagine happen business right treat provide satisfaction train motivate staff currently ,Bug_fix
3597,Worst service,bad service ,Common
3598,So many issues. Pretty poorly made,pretty poorly ,Feature Request
3599,It's can't install,install ,Feature Request
3600,Used to be good. But now drivers never picked any bookings.,good pick ,Common
3601,This is a good app,good app ,Common
3602,Thinking better,think well ,Bug_fix
3603,Is very good app,good app ,Common
3604,"The Worst Service.Yestrday I ordered a pickme tuk.App showed it was on the way.So we waited.But for 10 minutes on the map it didn't move at all.We it maybe the network connection.It must me coming.Then it started moving opposite direction.We thought it's gonna take a turn and come.But it went on.We waited for 30 mins.Accrding to the map he wasn't coming.We called the driver many times.And didn't even bother to answer or cancel the trip,so we can order someone else.Shudn't they b more responsible",bad service order app way map maybe network connection come move opposite direction think turn go driver time bother answer cancel trip responsible ,Bug_fix
3605,"පහසුයි ,ලේසියි",nan,Common
3606,No taxis! App not responding! At most needed times. No taxis on promo days at all.,no taxi app time taxis day ,Common
3607,Wow grade full app Best price,wow grade app good price ,Common
3608,Disgusting service. Hope another local service gets to kick your bottoms.,disgusting service hope local kick ,Common
3609,Very useful in accessible areas around the country where I live.,useful accessible country live ,Bug_fix
3610,wr,nan,Common
3611,වැඩක් නෑ.ඩයිවර් රට වටේ ගිහින් එන්නේ,nan,Common
3612,Poor app,poor app ,Common
3613,Satisfactory. Good. Caters our needs,satisfactory good need ,Common
3614,Good,good ,Common
3615,This is very good,good ,Common
3616,This is a safe trip for yourself,safe trip ,Feature Request
3617,becoming the worst app,bad app ,Common
3618,I need fast taxis and need GPS providing method because in sometimes I would not having mobile data or WiFi,need fast taxi provide method mobile datum ,Common
3619,"Nice app,thnx pick me",nice app pick ,Common
3620,Its great,great ,Feature Request
3621,Exclusive taxie,exclusive ,Bug_fix
3622,eazy to travel,travel ,Common
3623,Worst service ever,bad service ,Common
3624,I love pick me,love pick ,Bug_fix
3625,මම හැමදාම වගේ යන්නෙ pickme එකේ. අදත් මම වෙනද නගින තැනින්මයි නැග්ගෙ. වෙනදට මගේ ගමන් ගාස්තුව වෙන්නෙ රුපියල් 130- 150 අතර ගානක්. මම ලොකේෂන් දාලා බලනකොට එන්නෙත් ඒ වගේ ගානක්. දුර 3.50 km. එත් අද 5.50km වැටිලා. මගේ ගාස්තුව රුපියල් 230 උනා. එහෙම වෙන්නෙ කොහොමද . මට කවදාවත් වුනේ නැති වැඩක්. ඇත්තමයි pickme එපා වුනා.😞😞😞😞😞😞😞,km disappointed face ,Feature Request
3626,since last update user meater not working....😠,update user work angry face ,Common
3627,"Its giving an error saying "" Unable to determine my location "" all the time when i open the app which doesn't show in other apps",give error say unable determine location time open app ,Common
3628,👍👍,thumbs ,Bug_fix
3629,always crashes,nan,Common
3630,Really helpful app,helpful app ,Common
3631,I forgot my phone in a pick me mini and i had to go through rough time to find it back. Can you guys add driver's of phone number to the email receipt ??,forgot phone pick rough time find add driver number receipt ,Bug_fix
3632,තවත් ටැක්සි රියදුරන් එක් කර මෙම සේවාව තවත් වඩාත් කාර්යක්ෂම කරන්න.... ස්තූතියි,nan,Common
3633,Great service and safe journey,great service safe journey ,Common
3634,Fine,fine ,Bug_fix
3635,Map and locations are not working properly.,map work properly ,Common
3636,Very good service for everyone. All the best.,good service ,Common
3637,Good,good ,Common
3638,I don't have location in my phone,location phone ,Bug_fix
3639,Very good,good ,Common
3640,A best app... Better promotions...,good app well ,Common
3641,A very good app. Giving to lot of promotion.. safe driving..,good app give lot promotion safe driving ,Common
3642,GOOD AND VERY USEFUL,good useful ,Common
3643,its good app and helpful to travel. keep it up pick me. good luck 👍,good app helpful travel pick luck thumb ,Common
3644,Very good service,good service ,Common
3645,සුපිරි. Good 👍,good thumb ,Common
3646,Good service,good service ,Common
3647,Most stupid and the worst app i have used ever .fake promotions and very poor customer caring,stupid bad app fake poor customer ,Common
3648,Good,good ,Common
3649,👨‍👩‍👧,family man woman girl ,Bug_fix
3650,Good,good ,Common
3651,Good on time arrival nothing to complain,good time arrival complain ,Common
3652,Nice app,nice app ,Common
3653,Good,good ,Common
3654,Reliable taxi serbice,reliable taxi ,Common
3655,Not allowing to download apps. Continuing to say download pending,not pende ,Bug_fix
3656,Good,good ,Common
3657,nice app,nice app ,Common
3658,Using bad marketing methods,bad marketing ,Common
3659,Good service,good service ,Common
3660,It's not conecting,nan,Common
3661,V. Good,good ,Common
3662,Very useful app,useful app ,Common
3663,Cangrdulation to ur journey,ur journey ,Bug_fix
3664,You all don't have a customer calling center in case of an emergency,customer call center case emergency ,Feature Request
3665,Hatzoff 👌,ok hand ,Bug_fix
3666,Excellent,excellent ,Common
3667,"Everything is excellent about this app except when we book from our location, our right location isn t showing. Please look into this matter.",excellent app book location right show look matter ,Common
3668,Very good and cheep service,good cheep service ,Common
3669,Tks,nan,Common
3670,Good transport app,good transport app ,Common
3671,when i type the location it comes fetching location,type location come fetch ,Bug_fix
3672,Use Full app,use app ,Common
3673,This app is good. But many tuk drivers doesn't accept our trip in many times. There will be 4 or 5 drivers at a time but anyone does not accept my trip. Pleasa give a solution for this,app good accept trip time solution ,Common
3674,Good,good ,Common
3675,Supiri,nan,Common
3676,Not sure,not sure ,Bug_fix
3677,Excellent,excellent ,Common
3678,Unbelievable to experience that Sri Lanka is in a great level of transport service which is done by PickMe .,unbelievable experience great level transport service ,Common
3679,Good always,good ,Common
3680,Useless app promo code not working,useless app code working ,Bug_fix
3681,Cheating company with low quality drivers. I blacklisted this,cheat company low quality ,Bug_fix
3682,Pick me used to be a good service but nowadays there are no vehicles when its rain and map doesn't even work accurately.,pick good service nowadays rain map work accurately ,Common
3683,Worst app ever.. we got so many promotion codes but none of those works.. at the beginning trip charge shows as a less amount.but when we come to end it shows a higher amount.. so how can wen pay for that.. this app is a lie. Really disappointed about pick me..,worst app get promotion work begin trip charge come end high wen pay lie disappoint pick ,Bug_fix
3684,Perfect service,perfect service ,Common
3685,👍,thumbs ,Bug_fix
3686,I enjoy the offers. Taxi reaching the passenger concept suits the country so well. Focussing more on drvers' disciplne (tuk drivers) would bring the demand to even higher levels coz no one likes feeling unsafe.,enjoy taxi reach passenger concept country bring demand high coz feel unsafe ,Common
3687,Good,good ,Common
3688,The drivers are cheating. Even when I use the promo codes they are not accepting it and they are asking for the full amount. I may have to switch from PickMe to any other transportation and travel assistance. If this is not considered and show the full amount after the ride is ended.,cheating use switch transportation travel assistance consider ride end ,Common
3689,Help full,help ,Bug_fix
3690,Very useful,useful ,Bug_fix
3691,Cook good,cook good ,Common
3692,Good,good ,Common
3693,It's good,good ,Common
3694,Recenable rates very useful app,useful app ,Common
3695,Good service.,good service ,Common
3696,Perfect service.. but the problem is some promotion do not work.. it says that I'm not eligible for this promotion like that.,perfect service problem promotion work eligible like ,Common
3697,For best travelling.,good ,Common
3698,Nice,nice ,Common
3699,Wow very intresting app,wow app ,Common
3700,Good .👍,good thumb ,Common
3701,Excellent,excellent ,Common
3702,Helpful,helpful ,Common
3703,"Awesome and nice app, no.1 taxi service I really love it...",awesome nice app taxi service love ,Common
3704,Have room to improve,room improve ,Bug_fix
3705,Good,good ,Common
3706,Great service,great service ,Common
3707,Excellent,excellent ,Common
3708,Super this app,super app ,Common
3709,"Taxi service all good-little expensive than uber.the food service is great,but the app should improve.refreshes everytime when i go back from a food store to the store list-so has to go all over again.Please add the option to order to address-not location.People live in apartments like us will find it so helpful.kudos",taxi service good little expensive food great app improve store list add option order address location people live like find helpful kudo ,Common
3710,දාන location එක නෙමෙයි driver ට share වෙන්නේ.,location driver share ,Bug_fix
3711,Worst and most expensive service ever.hate this,bad expensive service hate ,Common
3712,Good,good ,Common
3713,"Ishi Bhoi is absolutely correct.  You cannot pick your location.   Previously it was fine, but now my road is not displayed but a parallel road is  displayed as my location.  But that road is a ""one way"" road. So if the driver goes down that road, he would need an additional half hour to get back.   I informed my issue by email and Messenger .  1st email sent on 26th Sept and received Standard acknowledgement. Followed up with a messages on messenger 6th October, 9th Oct and 10th Oct.  The last message received acknowledged that it was a ""bug"" and that it would take 4 weeks to resolve. 4 weeks have come and gone, but no resolution.",absolutely correct pick location previously fine road display parallel way driver go need additional half hour informed issue messenger st send th sept receive standard message acknowledged bug resolve come resolution ,Bug_fix
3714,This taxi service is not good. Drivers like thieves. They ask more money than app shows. Not behaving professional. Undesent drivers and old vehicles. Not in good condition,taxi service good like ask money app not professional old condition ,Common
3715,Commision wedi dan yana widiya hoda na driverslata kisima sahanayak na incentive na,dan na incentive ,Bug_fix
3716,Card verify option isn't functioning. I had been updating whenever a new version is available. But it never ever functioned.,card verify option new version available ,Common
3717,"Dear pickMe, please make that drivers cannot cancel the ride if the passenger is in 5mins reach or less, same as you charge a penalty from us! Got 3 cancellations in one day, 😡",dear cancel ride passenger min reach charge penalty get day pouting face ,Feature Request
3718,* Navigation system is fully wrong ... * location tracker is fully wrong ... * no display to the far my location and current nearby cab parking.. * Not indicate how many time take cab service come to my location Fix this mistakes too soon give the best service correctly for the people,navigation system fully wrong location tracker display far current nearby cab parking not indicate time service come fix soon good correctly people ,Bug_fix
3719,Worst app ever,worst app ,Common
3720,😠😠😠😠,angry face ,Bug_fix
3721,THIS APP IS BEST PRICES ARE LOW,app good low ,Common
3722,Good,good ,Common
3723,Pick it,pick ,Bug_fix
3724,Ftta,nan,Common
3725,Good,good ,Common
3726,It's a good app And very easy to use,good app easy use ,Common
3727,Worst app ever .. even though the users complained in play store .. the developer didn't care that much.. this isn't the proper customer service. It shows no vehicles all the time when I book a trip. I'm gonna report this app .. play store may remove this app,worst app play store developer care proper customer service time book trip report remove ,Common
3728,This app is better,app better ,Common
3729,Good service,good service ,Common
3730,Hate this app... neveeer use it .. The drivers are so crazy .. when a promo is made the driver doesn't realize. when the tire amount is less they say that they have some problm in there phone and get a random amount .. hate this app never use it,hate app use crazy driver realize tire phone random ,Common
3731,Its a great service,great service ,Common
3732,This app has gone from bad to worse.,app go bad ,Common
3733,It will be really good if pick me comes to India,good pick come ,Common
3734,This app gets stuck almost always. And sometimes the GPS location is not detected right. Many of the pickme drivers too are having an issue with the app.,app stick location right issue ,Bug_fix
3735,My promo codes not working! Making me irihate the app.,work make app ,Common
3736,Cheapest app. It is not working properly. Not user frendly.,app work properly not user ,Common
3737,Some drivers are crazy. Make a way to put complaints on drivers,crazy way ,Bug_fix
3738,I like this app,like app ,Common
3739,It us super,super ,Bug_fix
3740,the best app ever 😙😍😘😗😆😗🚹🏁🏁🏁🏁🏁,good app kiss face smile eye heart blow grin squinting man room chequer flag ,Common
3741,good,good ,Common
3742,GOOD,good ,Common
3743,Worst complaining system. UNPROFESSIONAL DRIVERS. NEVER GOING TO USE PICK ME AGAIN.,bad system unprofessional go use pick ,Common
3744,To,nan,Common
3745,👍👍,thumbs ,Bug_fix
3746,Pickme is safe and good,safe good ,Common
3747,Nice,nice ,Common
3748,It's most usable,usable ,Bug_fix
3749,App dosen't work,app work ,Common
3750,Poor customer service.,poor customer service ,Common
3751,I can not log into the pickme app. My phone number does not belong.,log app phone number belong ,Common
3752,Good service,good service ,Common
3753,Good!,good ,Common
3754,Good app. Is there a way to change my number?,good app way change number ,Common
3755,I have been using this app more than 1 year. I'm not getting a good service which I have received previous years.,app year get good service receive previous ,Common
3756,I can easily go somewhere with this app,easily app ,Common
3757,Fantatic,nan,Common
3758,App is failing most of the time.,app fail time ,Common
3759,Need bug fixing,need bug fixing ,Bug_fix
3760,Wanted a driver to pick up a parcel from one location to another. Says that they can't follow locations cause if they put Google maps the taxi meter won't work. So much for high tech convenience had to tell the whole route.,driver pick parcel location follow cause taxi meter work high tech convenience tell route ,Bug_fix
3761,What the hell is wrong with this app now...there are no vehicles at almost anytime..im getting promo codes and that codes and offers but whats the use if this is not available when we want...this is not a one incident comment this happened to me so many times..very often..please do something..i usually never write comments on apps but this was a good service now all crashed..so sad about that.,hell wrong app get use available want incident comment time usually write good service sad ,Common
3762,Nice app But the rate is little expensive when compared to others,nice app rate little expensive ,Common
3763,Nice,nice ,Common
3764,Best,best ,Common
3765,My app have stopped working. Password says not valid. Email also not valid. .. trying with forgot my password. .. the birthday is also not valid. .. unable to complain to the office also. .. the hotline is the worst ever. ... 😕,app stop work password valid try forgot birthday unable complain office worst confuse face ,Common
3766,Good service,good service ,Common
3767,Use full app,use app ,Common
3768,Good app,good app ,Common
3769,Its quite okay.can improve.,improve ,Bug_fix
3770,Excellent,excellent ,Common
3771,"The drivers take long roads to reach the destination and they charge more, claiming they dont change to give .and before it was a safe mode to travel but not anymore",long reach destination charge not change safe mode travel ,Feature Request
3772,bad app,bad app ,Common
3773,Its very usefully,usefully ,Bug_fix
3774,thx for service,service ,Common
3775,This is the worst transport mode.they are so late,bad transport mode late ,Common
3776,good for night travels,good night ,Common
3777,Its very good for us,good ,Common
3778,Good Pp,good ,Common
3779,Good,good ,Common
3780,"Fare rates and availability around nittambuwa, yakkala is little rare.",fare availability little rare ,Bug_fix
3781,Some time not clear,time clear ,Bug_fix
3782,Hope it will provide bdtter servicr,hope provide ,Feature Request
3783,"Fu...k technology , now they dont care about customers Always struck . Driver device is not confortable always struck . We need for vehicle for emergency purpose . But now we cant used pickme app . Our side is all clear . Driver device always problem . Truthfully im using uber. Uber is best now",fu technology not care strike driver device need vehicle emergency purpose app clear problem truthfully good ,Common
3784,It's really a awesome app.,awesome app ,Common
3785,Worst!,bad ,Common
3786,"Actually this app is good but unfortunately I am log out my account and now I can't log to it , it's very troublesome issue for me please check this bcz I am not logout this Ur severe isn't good 💯✋",actually app good unfortunately log account troublesome issue check ur severe point raise hand ,Common
3787,Superb 👌 very helpful,superb ok hand helpful ,Common
3788,App is good and easy to use,app good easy use ,Common
3789,Good,good ,Common
3790,Worst,bad ,Common
3791,"Customer support is terrible, they said everything yes sir, yes sir , but nothing happened, good time for someone to entering this market.",customer support terrible say yes sir good time enter market ,Common
3792,Courteous service,courteous service ,Common
3793,Good,good ,Common
3794,Very usefull,nan,Common
3795,Have to improve....,improve ,Bug_fix
3796,Bad,bad ,Common
3797,This App & Pickme service Very Useful for our day today busy life. Pickme is Very Safety & Very Friendly Service.,app service useful day today busy life safety friendly ,Bug_fix
3798,GOOD,good ,Common
3799,There are more discounts,nan,Common
3800,I love pick me,love pick ,Bug_fix
3801,Good,good ,Common
3802,Pick me map can't showing correct location. ...? Pls update#,pick map show correct location update ,Bug_fix
3803,Nothing,nan,Common
3804,ගනන් වැඩි,nan,Common
3805,Good . Never stop improving. Need a driver selection . Always showing one driver who we don't like.,good stop improve need driver selection show like ,Feature Request
3806,Nothing to say,nan,Common
3807,Good,good ,Common
3808,Good,good ,Common
3809,Didn't work with an overseas number. Never got the OTP.,work overseas number get ,Common
3810,All terms service good,service good ,Common
3811,Had a complaint. But no response. Really bad service. The drivers overcharge.,complaint response bad service overcharge ,Common
3812,"Good app,very useful",good app useful ,Common
3813,ගාණ වැඩියි දැන් 😠 😠 😠,angry face ,Bug_fix
3814,Good app,good app ,Common
3815,"I am having problems with new update. Cannot book trishaw, mini and nano. The app is only showing 2 vehicles.",new update book app show ,Common
3816,This is super Bock vehicles app😁😄😉,super bock app beam face smile eye grin wink ,Common
3817,Good,good ,Common
3818,True price,true price ,Bug_fix
3819,Good,good ,Common
3820,"There are several incidents with recently, most of times when we are at the end of journey it's unable to finish the trip with driver's end. So we are getting charge for waiting. Informed their customer service repeatedly. Very irresponsible feedback. Better to avoid using the service & app.",recently time end journey unable finish trip driver get charge wait inform customer service repeatedly irresponsible feedback well avoid app ,Bug_fix
3821,"When ever you want cabs, there just aren't ANY!!! Specially in the morning! I have been trying for about an hour but NO cabs in any of the categories. They are so lazy and lethargic that they don't to make any effort to serve the customers better and make more money. So disappointing!!!",want specially morning try hour no lazy lethargic effort serve better money disappointing ,Bug_fix
3822,Keeps getting stuck and can't identify my current location (even when GPS is ON). If you think it's an issue with my phone GPS well NO it's not cos other service providers received exact locations at all times. I would Love to use Pick Me as my preferred ride provider since its a local product and I believe that we must support our local industries to grow within #keepitlocal therefor please update your app and make it right so that we can support you!. Cheers.....Chaney,get stick identify current location think issue phone no cos service receive exact time love use pick preferred ride provider local product believe support grow therefor update app right ,Bug_fix
3823,Worst app ever.,worst app ,Common
3824,Reliable,reliable ,Common
3825,Sup,sup ,Bug_fix
3826,Good job,good job ,Common
3827,Full of glitches. Uber is better.,well ,Bug_fix
3828,"Today first time install this app i wsa check it ,i am realy happy this i thing this is very impotent and usefull app",today time install app check happy thing impotent ,Common
3829,Plz help make sure your extimate is available every time plz it is hard to ride a trip with out,help sure available time hard ride trip ,Common
3830,"Worst complaining system ever. If you file a complaint you literally have to go and poke at your ticket every 10 minutes, to check whether they replied. No email confirmation, no notification for complaints. If you missed their response, they'll close the ticket mentioning you never responded. Really disappointed with the user experience. Don't expect them to response in 48 hours either. With my experience, just don't lose anything in a taxi. It's better than whatever this is.",bad system file complaint literally poke ticket check no confirmation notification response shall close disappointed user experience don expect lose taxi better ,Bug_fix
3831,Very good app and the better version of uber,good app well version ,Common
3832,Familiar,familiar ,Bug_fix
3833,Good,good ,Common
3834,"Starting from few days this bloody app does not function properly.Always gives an error message saying that ""Location update failed"" eventhough GPS function has been activated in the mobile (I'm using Samsung J7-2016) .Guys please fix this issue ASAP.",start day bloody app function properly error message say location update mobile fix issue ,Bug_fix
3835,good app,good app ,Common
3836,👍,thumbs ,Bug_fix
3837,This app is very useless,app useless ,Common
3838,Good,good ,Common
3839,superb,superb ,Common
3840,I forget my pass,forget pass ,Bug_fix
3841,Goodness,goodness ,Bug_fix
3842,The app used to work like magic before.. Bit now the all keeps crashing on my Nokia 6.1 not even letting me use it even like before... So please release an update solving my issue ASAP.,app work like magic bit use release update issue ,Common
3843,Seem to crash often.,crash ,Bug_fix
3844,"Nothing spl gd ,",nan,Common
3845,good,good ,Common
3846,Very helpful,helpful ,Common
3847,Kick useless drivers,kick useless ,Bug_fix
3848,I will reinstall this app back.,reinstall app ,Common
3849,Nice,nice ,Common
3850,Best way to go,good way ,Common
3851,Super,super ,Bug_fix
3852,Good service,good service ,Common
3853,aap is not working,work ,Common
3854,"It is automatically poping up saying install this app, its like spam",automatically say install app like ,Common
3855,Ok,nan,Common
3856,It saves my time😊,time smile face eye ,Bug_fix
3857,Good,good ,Common
3858,Actually there is a bug. When I book a 3 wheel its automatically booked 2 3wheels and I can't cancel it.,actually bug book wheel automatically cancel ,Bug_fix
3859,Perfect services,perfect ,Bug_fix
3860,Good,good ,Common
3861,"It's useful but number of critical bugs, crashes of app and connection errors is so high that it's not really reliable.",useful number critical app connection high reliable ,Feature Request
3862,Pickme is the best.. highly recommend it .,best highly recommend ,Common
3863,It's amazing,amazing ,Bug_fix
3864,Good.But No correct estimated price sometimes,good no correct price ,Common
3865,Will inform,inform ,Bug_fix
3866,Best App... that is very useful.. thz Pickme,good app useful ,Common
3867,Ami,ami ,Bug_fix
3868,I 👍,thumbs ,Bug_fix
3869,I thought this has motorbike tuk tuk app is better than this,think app better ,Common
3870,This is very good advantage for us,good advantage ,Common
3871,Good,good ,Common
3872,It take to much time to login,time login ,Bug_fix
3873,It comes that to on the location in settings But the location was on,come location ,Bug_fix
3874,"What was once a great app is now a disaster. Responsiveness issues, clearly bandwidth issues and hopeless support. Disgusting. Sad.",great app disaster responsiveness clearly hopeless support disgust sad ,Common
3875,I got frustrated today. I had booked a tuk and the driver was shown a long route to pick me. I cant rate the driver bad... so in turn i rate the app. I ll stick to other transport apps from henceforth,get today book driver show long route pick not rate bad turn app stick transport henceforth ,Bug_fix
3876,"Thanks for the correcting the issue. Now it's working fine. Great app. ""Early times pickme works fine. Now i have updated to latest version off the app and it does not load the dropoff address when typing or neither can't search for the drop address. Please fix this. Thanks.""",thank correct issue work fine great app early time late version load address search drop fix ,Common
3877,good,good ,Common
3878,"I tried to book a wheel for 1/2 hour couldn't take. I think drivers should take the blame not the app.. Today 28th sep I tried to check wether drivers available for past 15 minutes, no drivers available. Unfortunately pick me drivers are their,they take road hires.. Can't say anything pick me is not good in customer service. They should monitor the drivers roots availability.then they can do well. Pick me is giving promotion but they dont have vehicales on that. Leading tranport provider.😁",try book wheel hour think blame app today th check wether available past unfortunately pick road good customer service monitor availability give promotion not lead provider beam face smile eye ,Bug_fix
3879,Wow,wow ,Bug_fix
3880,This is the best,good ,Common
3881,App is not working! API fails to fetch data all the time,app work fetch datum time ,Common
3882,"The app recently turned to be full of bugs; couldn't apply the valid promo code nor could I book a trip. It said ""server error"". I stopped using it after.",app recently turn apply valid code book trip say server error stop ,Bug_fix
3883,Good,good ,Common
3884,Excellent!!,excellent ,Common
3885,Promotions are not activated although it shows as active. And the if I change the vehicle from nano to tuk before searching for a ride. I am still charged for the amount of the nano ??. Too many bugs recently,active change vehicle search ride recently ,Bug_fix
3886,Great app,great app ,Common
3887,Good timing,good timing ,Common
3888,This company does not provide the proper navigation facilities therefore we as consumers are not able to consume the service up to a satisfactory level because drivers call us and keep asking the location time and time again which is so irritating 👎,company provide proper navigation able consume service satisfactory level location time irritate thumb ,Common
3889,Good,good ,Common
3890,Good app,good app ,Common
3891,Excellent!,excellent ,Common
3892,Ok,nan,Common
3893,Good,good ,Common
3894,It's realy helpfully for ride,helpfully ride ,Common
3895,When we have promo we couldn't book the tuk tuk in the morning,book morning ,Bug_fix
3896,Very good app,good app ,Common
3897,"App has many bugs and ""connection error"".... Many times it has logged out automatically before requesting...",app connection error time log automatically ,Bug_fix
3898,"I like this application, as it enables us to find a suitable vehicle when needed... But it's really unfair, that if we place a hire and if we cancels it after 5 minutes we will be charged, as it wastes the time and fuel of the driver... But some drivers accept a hire and cancels it after more than 10 minutes, wasting our time finally... Time is a very important factor, and we seriously worry about it... This delays us, and effect our punctuality... So I hope to get a solution for this...",like application find suitable vehicle unfair place hire time fuel driver accept waste finally important factor seriously worry effect punctuality hope solution ,Common
3899,Me PIKC me ak good,ak good ,Common
3900,Super,super ,Bug_fix
3901,Six big time. And their service is also bad,big time service bad ,Common
3902,Buggy app.,buggy app ,Common
3903,Good but the drivers hate some of the drivers.. and the app gets stuck sometimes.,good hate app stick ,Common
3904,Perfectly the service is done.....and the drivers are like friends.........,perfectly service like ,Common
